,author-id,created_at,tweet,sentiment
0,1548570722133745664,2022-07-17 07:30:05+00:00,"RT @ram_bhaktha: Permanent Campus of Indian Institute of Technology (IIT)- Dharwad, Karnataka.
📸 Nagesh Iyer https://t.co/Ft2U52q60h",neutral
1,1548570720988454912,2022-07-17 07:30:05+00:00,"La llegada de las nuevas variantes Covid de Ómicron han disparado los contagios en nuestro país, por lo que muchos expertos abogan por un retorno a las restricciones más duras.
https://t.co/Lk3D6vnDH6
#TECH #Technology #technews #programming #software #HATINC",neutral
2,1548570720241950723,2022-07-17 07:30:05+00:00,"La llegada de las nuevas variantes Covid de Ómicron han disparado los contagios en nuestro país, por lo que muchos expertos abogan por un retorno a las restricciones más duras.
https://t.co/8K38dTE9MZ
#TECH #Technology #technews #programming #software",neutral
3,1548570719830753280,2022-07-17 07:30:05+00:00,"RT @ani_digital: Bengaluru: Foundation stone for IFFCO's nano urea unit laid, CM Bommai terms technology as ""farmers' friend""

Read @ANI St…",neutral
4,1548570718581182465,2022-07-17 07:30:05+00:00,Congratulations to the people of Osun for standing for freedom over slavery.. the voters are the new king with INEC latest technology..BVAS. https://t.co/aNkFBw2aYW,positive
5,1548570717838606336,2022-07-17 07:30:04+00:00,"Leading simulation technology at #UKCW2022🤖

@covsimcentre, the most advanced interactive people training and development centre in the UK, offers bespoke programmes to help organisations train &amp; develop staff.

4-6 Oct | NEC
Register Free | https://t.co/NUcRV2MLfx https://t.co/roAv9AiUJf",positive
6,1548570716626292736,2022-07-17 07:30:04+00:00,Oowlish Technology is looking for a Senior Software Engineer - React Native - Remot... (São Paulo) https://t.co/kVxgBLI9cg,neutral
7,1548570716064419841,2022-07-17 07:30:04+00:00,"Presentan la Nokia T10, tableta de 8˝ con un T606 y LTE opcional https://t.co/i0KmN2CzUE https://t.co/PnNFkPmDpe",neutral
8,1548570713858383872,2022-07-17 07:30:03+00:00,"RT @SaitamaDubai: Saitama Technology LLC will release their own VISA Debit Card 💳 

Congratulations to everyone that has held, and congratu…",positive
9,1548570709425004544,2022-07-17 07:30:02+00:00,"RT @SpirosMargaris: How #blockchain technology is used 

to save the #environment 

https://t.co/JVBy0vIplE #fintech @sozelli @Cointelegrap…",neutral
10,1548570703108407297,2022-07-17 07:30:01+00:00,"and the most recent development in technology is the current iteration of the web, Web 3.0. Where Web 2.0 was largely user-generated content,",positive
11,1548570699912122369,2022-07-17 07:30:00+00:00,"Apple's Future iPad Updates: 14-Inch Model, Under-Display TrueDepth, OLED Technology and More https://t.co/VzNCzOoezS",positive
12,1548570698813018113,2022-07-17 07:30:00+00:00,"#DYK drone technology can help build #resilience among vulnerable populations?! 

Here is how @WFP uses it in #Mauritania ⬇️ https://t.co/nOGKgcAgfo",negative
13,1548570693260169218,2022-07-17 07:29:58+00:00,"RT @CcibChris: 17 Jul 1989. First flight B-2 Spirit.heavy strategic bomber,low observable stealth technology flying wing design crew of two…",positive
14,1548570682023628800,2022-07-17 07:29:56+00:00,RT @JohnXuandou: Mori Calliope fans should not be allowed to own speakers or any headphones that could allow any passing third party to acc…,positive
15,1548570677334069248,2022-07-17 07:29:55+00:00,"RT @DevAnan23: #JSSC_JE_SCAM
The tender of conducting ""JSSC JE EXAM"" was got to ""Satvat Infosol, Chennai"", and the questions were printed a…",neutral
16,1548570660716220416,2022-07-17 07:29:51+00:00,PM to unveil 'SPRINT Challenges' to boost usage of indigenous technology in Navy #NationalNews #NarendraModi #SPRINTChallenges #IndianNavy #NIIO #Swavlamban https://t.co/namJJcHEj8,neutral
17,1548570650050064384,2022-07-17 07:29:48+00:00,"RT @ram_bhaktha: Permanent Campus of Indian Institute of Technology (IIT)- Dharwad, Karnataka.
📸 Nagesh Iyer https://t.co/Ft2U52q60h",neutral
18,1548570648200376321,2022-07-17 07:29:48+00:00,"#बढ़ता_किसान_भारत_की_शान
In line with PM Modi’s vision, science &amp; technology driven increase in income is a reality and is pursued nationwide with necessary administrative and policy support.
via NaMo App",neutral
19,1548570643318583296,2022-07-17 07:29:47+00:00,"RT @ram_bhaktha: Permanent Campus of Indian Institute of Technology (IIT)- Dharwad, Karnataka.
📸 Nagesh Iyer https://t.co/Ft2U52q60h",neutral
20,1548570643263881217,2022-07-17 07:29:47+00:00,"""Russian Tech Industry Faces ‘Brain Drain’ as Workers Flee"" by Cade Metz and Adam Satariano - https://t.co/QJIFIsVFYA https://t.co/ovNRIB9Cv1",neutral
21,1548570638725423104,2022-07-17 07:29:45+00:00,"RT @iAssets_org: iAssets empowers creators with blockchain technology.
iAssets aims to develop NFT-based products and services to build the…",neutral
22,1548570636615790592,2022-07-17 07:29:45+00:00,"Progress Without People: New Technology, Unemployment, and the Message of Resistance [UPDXZOQ]

https://t.co/PILbGiZRhy",positive
23,1548570634913218560,2022-07-17 07:29:45+00:00,"RT @AniFiWorld: WHAT IS ANIFI WORLD !??

We aim to be the game on blockchain technology where everyone can enjoy it without any upfront fee…",neutral
24,1548570627597955072,2022-07-17 07:29:43+00:00,"RT @iNeuronAi: Comment your answer :::

What is the most popular programming problem?

#ineuron #developer #technology #code #programming #…",positive
25,1548570625090154496,2022-07-17 07:29:42+00:00,"Looking for a safer work environment? 😯
#technology  #digital https://t.co/JQk9ABY5dF",neutral
26,1548570623357911040,2022-07-17 07:29:42+00:00,"Anand Mahindra shares pic of ‘latest technology’ to dry clothes, leaves Netizens amused
https://t.co/9FnckQf7Ql",positive
27,1548570621474353154,2022-07-17 07:29:41+00:00,"RT @haku_technology: 👻CNPJ Giveaway企画👻

早速1名様にCNPJをGiveawayします☺️
🎉1 Winner

✅2 Follow 
@ujuuna999 @haku_technology 

✅本ツイートRT+❤️
✅固定ツイートRT+…",neutral
28,1548570620681764864,2022-07-17 07:29:41+00:00,How blockchain technology is used to save the environment https://t.co/AJr0NUi7vp #cryptocurrency,neutral
29,1548570619830083585,2022-07-17 07:29:41+00:00,"I am into Oracle Technology, Working as Technical Architect with 13+ Years of experiences.

Currently working in ORACLE FUSION MIDDLEWARE SOA12C.

Looking to update into OIC or something else.

Let me know or assist me... https://t.co/lkDObMxdKh",neutral
30,1548570606194819072,2022-07-17 07:29:38+00:00,"@aliciaann84 @sceptic333 @RandPaul The vaccine specifically made for SARS-cov-2 is completely new technology, never been used in the general population. mRNA vaccine technology has actually been studied for 30+ years but was never successful… that should tell you something..",positive
31,1548570604994846720,2022-07-17 07:29:37+00:00,The first I heard of this is on twitter. It should be shown all over the media and it hasn't been (to my knowledge). This is a major victory for Biden to get Mexico to pay for this new border technology. https://t.co/usjqvIGgQZ,positive
